PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,final_type,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
51,2025-07-18,19:02:11.95,1,8,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Stewart, DJ",1000122721,Right,GAT_GRI,Undefined,2,Bottom,0,3,2,Undefined,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,87.8388,-1.185123,-2.692267,2284.913841,213.38884,1:00,6.29148,1.42159,5.58969,-18.7769,17.96032,11.04784,Fastball,3.61869,-0.17364,80.07525,-4.730188,-0.723327,0.436239,95.69934,10.776675,5.951757,2207.574924,108.49557,15.05985,18.13039,217.21052,217.21052,12.985228,1.986478,-6.36508,9.78808,-1.19772,50,6.17764,5.51482,-127.38769,-3.22199,-10.44149,26.58536,-16.11733,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,9f6d8570-6433-11f0-b8c1-3d0ab3898546,86.40314,15.05779,,7.76355,,,,0.80836,3.5755,0.17416,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:02:11.95,2025-07-18T19:02:11.9545344-05:00,2025-07-19T00:02:11.9545344Z,LineDrive,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,b3cee886-fee4-4f72-bbfe-a71d68cd6f7e,54.91106,-128.40852,13.29268,6.28948,-2.60311,-8.05866,-1.41717,5.91575,-5.22074,248.967795,0.80838,137.1394,-20.48757,3.41729,-0.66585,0.15919,-0.05841,0.01638,-0.002,3.57549,26.24516,-15.88733,1.15839,-0.1955,0.02408,0.01237,-0.00648,0.00096,0.17412,14.30013,8.57699,-2.63597,0.68289,-0.23745,0.11606,-0.03749,0.00494,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
52,2025-07-18,19:02:50.52,2,1,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Castillo, Victor",686911,Left,GAT_GRI,Undefined,2,Bottom,0,0,0,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,86.78195,-1.908072,-2.877538,2230.196709,229.435734,1:45,6.13734,1.71787,5.7265,-24.05171,13.40056,14.23103,Fastball,2.35293,0.22137,79.33893,-6.393367,-0.333326,0.440464,96.71544,11.048367,-15.160402,2419.477385,104.21617,14.2977,-35.19727,216.4496,216.4496,-22.104024,1.966505,-8.09831,7.72516,-1.48661,50,5.96307,5.73834,-125.85037,-4.9779,-12.9678,25.91146,-19.80377,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,b66d4710-6433-11f0-b8c1-3d0ab3898546,85.57438,14.30166,,7.44302,,,,1.88292,2.39832,-0.23078,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:02:50.52,2025-07-18T19:02:50.5241088-05:00,2025-07-19T00:02:50.5241088Z,LineDrive,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,e892b9a1-0975-4550-8b75-a1ed5becc27a,54.77544,-126.82978,12.95573,6.13708,-4.22935,-9.90188,-1.71277,6.2285,-6.4839,108.640479,1.88292,134.37485,-23.42311,4.69464,-0.95214,0.15995,-0.02747,0.00445,-0.00042,2.39832,27.1836,-16.56875,1.31344,-0.15417,0.01737,0.00178,-0.00084,8e-05,-0.23078,-36.40918,-6.2764,3.34136,-1.12078,0.29954,-0.06558,0.01024,-0.00079,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
53,2025-07-18,19:03:29.45,3,1,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Thomas, Dale",1000074232,Right,GAT_GRI,Undefined,2,Bottom,0,0,0,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.30987,-1.646554,-2.428408,2153.91675,248.172198,2:15,6.07558,1.74658,5.7372,-37.38187,3.80445,6.53347,Slider,1.42531,0.02829,76.35475,-8.480396,-1.258228,0.4619,,,,,,,,,,,,-3.98256,2.68024,-1.54842,50,5.91496,4.82091,-119.55785,-4.6782,-5.81127,21.29692,-28.26308,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,cd99e510-6433-11f0-b8c1-3d0ab3898546,81.60302,,,5.95512,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:03:29.45,2025-07-18T19:03:29.4597632-05:00,2025-07-19T00:03:29.4597632Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,b8fbecaf-7fd9-4c02-9323-454e3b099dd4,54.76654,-120.40392,10.64846,6.07851,-3.55538,-14.13154,-1.74453,5.05177,-2.90563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
54,2025-07-18,19:03:51.27,3,2,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Thomas, Dale",1000074232,Right,GAT_GRI,Undefined,2,Bottom,0,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.53398,-3.441712,-3.25702,2260.903297,218.713507,1:15,6.10725,1.60134,5.64498,-23.06489,15.90647,11.67323,Fastball,0.96556,-0.46743,77.97977,-7.743075,-1.174163,0.449308,,,,,,,,,,,,-6.84622,9.47292,-1.33199,50,5.79975,6.54664,-123.72899,-8.17966,-10.5575,25.89053,-17.56598,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,da9f7b80-6433-11f0-b8c1-3d0ab3898546,83.88997,,,7.55421,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:03:51.27,2025-07-18T19:03:51.2762880-05:00,2025-07-19T00:03:51.2762880Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,b56fcb6c-ba24-4649-80ea-7aeb6ed17545,54.85414,-124.74059,12.94527,6.10595,-7.49331,-8.78299,-1.59584,6.95915,-5.27875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
55,2025-07-18,19:04:09.81,3,3,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Thomas, Dale",1000074232,Right,GAT_GRI,Undefined,2,Bottom,0,1,1,Undefined,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,,80.60178,-0.685356,-2.506069,2189.331176,161.716638,11:30,6.05928,1.69083,5.68235,-36.04943,7.47008,-2.00421,Slider,2.41564,-0.81379,73.82431,-7.327448,-2.864116,0.474803,,,,,,,,,,,,0.30335,4.37591,-1.47825,50,5.97875,5.19456,-116.9452,-2.55482,0.41839,22.89742,-26.13885,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,e5af3560-6433-11f0-b8c1-3d0ab3898546,79.38544,,,6.77747,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:04:09.81,2025-07-18T19:04:09.8136576-05:00,2025-07-19T00:04:09.8136576Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,c5cabf73-b938-43c7-b3a0-2a8217f57333,54.81966,-117.8851,11.44871,6.0616,-1.48187,-13.06942,-1.69112,5.17739,0.2092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
56,2025-07-18,19:04:47.15,4,1,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,0,0,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.76059,-2.328041,-2.769883,1509.851859,238.415253,2:00,6.15842,1.73403,5.60848,-33.75167,9.34579,13.10894,Changeup,1.16888,0.23883,74.7766,-8.508672,-0.428467,0.472495,,,,,,,,,,,,-7.44831,5.70406,-1.50595,50,5.9369,5.173,-117.19321,-5.86147,-10.43081,20.70205,-24.18594,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,fbf0d720-6433-11f0-b8c1-3d0ab3898546,79.77318,,,5.98399,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:04:47.15,2025-07-18T19:04:47.1515648-05:00,2025-07-19T00:04:47.1515648Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,0df299f6-9dc0-4339-bad2-0c35beff12d1,54.89529,-118.05479,10.35103,6.1599,-4.8549,-12.09297,-1.73027,5.60711,-5.2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
57,2025-07-18,19:05:05.34,4,2,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,0,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.98915,-0.361564,-2.047095,1632.408724,248.355639,2:15,6.18391,1.65487,5.67571,-37.57242,6.51256,12.85662,Changeup,2.71557,0.81694,73.30549,-7.284622,0.252362,0.477878,,,,,,,,,,,,-7.1043,3.83969,-1.49033,50,6.1298,3.64921,-116.1123,-1.94722,-9.68313,22.0681,-26.94057,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,06d8e4c0-6434-11f0-b8c1-3d0ab3898546,78.87466,,,6.68367,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:05:05.34,2025-07-18T19:05:05.3473792-05:00,2025-07-19T00:05:05.3473792Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,e07d500f-d387-4836-a1eb-953a4274126c,54.82545,-117.02583,11.03405,6.18733,-0.832,-13.47029,-1.64969,4.05005,-4.84157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
58,2025-07-18,19:05:24.75,4,3,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,0,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.47515,-2.883356,-4.002142,1602.920459,252.066291,2:30,6.17121,1.63505,5.63324,-37.74652,6.07878,14.41682,Changeup,0.32653,-0.90379,74.12622,-9.77393,-1.428541,0.476468,,,,,,,,,,,,-8.48343,4.29323,-1.30354,50,5.90074,7.59658,-116.4957,-7.11364,-11.6516,22.00002,-26.27753,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,124b3100-6434-11f0-b8c1-3d0ab3898546,79.10797,,,6.34893,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:05:24.75,2025-07-18T19:05:24.7595008-05:00,2025-07-19T00:05:24.7595008Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,20a1af44-0bd8-4ba0-ae31-d6f5e8d96555,54.86944,-117.41168,11.00001,6.17414,-6.01956,-13.13877,-1.62993,8.08171,-5.8258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
59,2025-07-18,19:05:50.87,4,4,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,1,2,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.5028,-1.770939,-2.399293,1548.585306,216.300187,1:15,6.07911,1.73937,5.53309,-31.37836,13.33402,8.7767,Changeup,1.80682,0.22662,73.23796,-7.55222,-0.834657,0.481266,,,,,,,,,,,,-5.13103,7.62709,-1.53709,50,5.90425,4.50001,-115.36204,-4.55828,-6.93792,20.78413,-21.86107,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,21ec59e0-6434-11f0-b8c1-3d0ab3898546,78.31932,,,6.26483,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:05:50.87,2025-07-18T19:05:50.8759040-05:00,2025-07-19T00:05:50.8759040Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,3a8d234f-b983-42a7-a4bc-22ee6323b38f,54.96936,-116.25389,10.39206,6.07971,-3.62021,-10.93054,-1.73657,4.79772,-3.46896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
60,2025-07-18,19:06:21.83,4,5,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.5127,-0.237119,-2.868203,2198.159692,220.28173,1:15,6.22145,1.43659,5.71641,-21.3195,15.62812,12.2004,Fastball,4.22365,-0.22092,79.48212,-4.256538,-0.689208,0.437486,,,,,,,,,,,,-7.01044,8.37044,-1.20403,50,6.18855,5.83141,-126.88964,-1.19374,-11.37496,27.12718,-18.59244,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,351a04e0-6434-11f0-b8c1-3d0ab3898546,86.15685,,,8.03059,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:06:21.83,2025-07-18T19:06:21.8354688-05:00,2025-07-19T00:06:21.8354688Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,76a0ba2b-407d-4af0-8f8a-c8cba736c436,54.78297,-127.90808,13.56359,6.22027,-0.49572,-9.29622,-1.43098,6.25846,-5.68748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
61,2025-07-18,19:06:43.35,4,6,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.06423,-0.618828,-1.133311,1542.22153,223.221378,1:30,6.19067,1.61335,5.54299,-34.90112,10.43556,8.43705,Changeup,2.70374,1.25709,72.43579,-7.056874,0.372394,0.484614,,,,,,,,,,,,-4.58118,5.89221,-1.52083,50,6.11402,1.93996,-114.7644,-2.3538,-6.10036,21.54798,-24.32794,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,41737cd0-6434-11f0-b8c1-3d0ab3898546,77.77821,,,6.62845,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:06:43.35,2025-07-18T19:06:43.3508352-05:00,2025-07-19T00:06:43.3508352Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,14d17530-a4dc-449e-ba5b-e78a779699fe,54.95708,-115.69139,10.77399,6.19276,-1.30722,-12.16397,-1.60993,2.2024,-3.05018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
62,2025-07-18,19:07:07.49,4,7,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,3,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.8458,-1.662603,-3.132787,2209.141984,218.930433,1:15,6.1529,1.606,5.60033,-20.62115,16.16131,12.07446,Fastball,2.87949,-0.31552,80.08895,-5.532879,-0.98107,0.436508,62.91747,51.734961,-143.629659,4305.987412,,,,,40.08317,,,-7.04603,9.02989,-1.34554,50,5.99709,6.45517,-127.32887,-4.36424,-11.53642,26.79891,-17.38947,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,4f97a2a0-6434-11f0-b8c1-3d0ab3898546,86.35,41.82814,,7.75685,,,,1.97247,2.7441,0.30988,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:07:07.49,2025-07-18T19:07:07.4933760-05:00,2025-07-19T00:07:07.4933760Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,9906ccaa-4b04-4fe5-ae76-ca998e99dfe0,54.9011,-128.35626,13.39946,6.15162,-3.69758,-8.69473,-1.60149,6.89744,-5.76821,,1.97247,-46.01584,-0.08172,0.76781,-0.26188,0.07463,-0.0182,0.00382,-0.0004,2.7441,72.45311,-30.61669,4.28088,-0.9722,0.20905,-0.04754,0.01,-0.00133,0.30988,-33.88905,5.25022,-0.91805,0.16887,-0.03136,0.00739,-0.00168,0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
63,2025-07-18,19:07:32.56,4,8,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Mateo, Edwin",672858,Left,GAT_GRI,Undefined,2,Bottom,1,3,2,Undefined,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,3,,79.07577,-0.642197,-1.980921,1603.010483,222.027959,1:30,6.12589,1.50988,5.68166,-35.29403,9.81705,7.54052,Changeup,2.58568,0.29092,72.45944,-7.163436,-0.632576,0.483407,94.91455,27.339961,21.147566,2488.466314,101.83301,50.93877,41.59364,360.18066,352.747,25.394836,4.708853,-4.4276,5.5826,-1.34788,50,6.04954,3.68676,-114.78461,-2.38756,-5.8943,21.67754,-24.74217,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,5e855a00-6434-11f0-b8c1-3d0ab3898546,77.97242,69.69509,,6.61632,,,,2.93216,2.77182,-0.30508,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:07:32.56,2025-07-18T19:07:32.5606400-05:00,2025-07-19T00:07:32.5606400Z,FlyBall,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,6a1e6309-5029-49cd-9a5b-30a4fd66a7f6,54.82007,-115.69132,10.83877,6.12777,-1.35267,-12.37109,-1.50724,3.9333,-2.94715,205.891473,2.93466,115.27897,-20.92971,4.5685,-0.67875,0.01235,0.01248,-0.00138,3e-05,2.77032,63.96017,-16.82179,0.89303,-0.12838,0.01706,0.00572,-0.0019,0.00014,-0.30347,44.57337,-2.62007,-0.68677,0.47016,-0.15818,0.03177,-0.00327,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
64,2025-07-18,19:08:22.83,5,1,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Wallace, Paxton",669470,Right,GAT_GRI,Undefined,2,Bottom,1,0,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.69135,-1.545765,-2.38851,2200.493389,209.73607,1:00,6.23089,1.45392,5.53814,-19.48509,18.65221,9.87965,Fastball,3.1607,0.04339,78.37703,-5.237361,-0.628699,0.444474,,,,,,,,,,,,-5.69095,10.26997,-1.25318,50,6.08403,4.80247,-125.56655,-3.98165,-8.98924,27.9521,-15.95188,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,7c618c10-6434-11f0-b8c1-3d0ab3898546,84.80235,,,8.31432,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:08:22.83,2025-07-18T19:08:22.8331520-05:00,2025-07-19T00:08:22.8331520Z,,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,c6025463-1d7f-4b5b-8155-c0adb123fe40,54.95952,-126.66576,13.97605,6.22827,-3.35434,-7.97594,-1.44899,5.15597,-4.49462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
65,2025-07-18,19:08:36.72,5,2,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Wallace, Paxton",669470,Right,GAT_GRI,Undefined,2,Bottom,1,0,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.37646,-2.299168,-2.311147,2198.829859,206.460839,1:00,6.30397,1.32217,5.57972,-18.66304,18.92556,8.73886,Fastball,2.59845,-0.10931,78.89163,-5.842392,-0.753106,0.441265,91.55092,38.22577,4.652603,4487.720225,108.47419,81.1221,18.25773,308.89265,179.16092,16.984064,5.445227,-5.18343,10.71776,-1.12922,50,6.0942,4.73267,-126.52678,-5.64888,-8.28597,29.16333,-15.04112,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,84cb5340-6434-11f0-b8c1-3d0ab3898546,85.41903,103.51362,,8.48483,,,,1.76662,2.77563,-0.21112,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:08:36.72,2025-07-18T19:08:36.7294464-05:00,2025-07-19T00:08:36.7294464Z,FlyBall,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,7e8f2ce0-1086-4e7a-b5a6-c7376256c11b,54.92008,-127.65578,14.58167,6.30161,-5.0666,-7.52056,-1.31865,5.05345,-4.14299,207.003017,1.77373,104.99883,-24.57857,5.74974,-0.74916,-0.03532,0.03105,-0.00434,0.0002,2.77132,83.14984,-19.07473,0.78391,0.07458,-0.07272,0.02408,-0.00365,0.0002,-0.21339,8.59889,6.4822,-2.40841,0.52899,-0.06015,0.00064,0.00051,-3e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
66,2025-07-18,19:09:09.15,6,1,"Wiley, Quinlan",1000087860,Right,SCH_BOO,"Brannen, Cole",669447,Left,GAT_GRI,Undefined,2,Bottom,2,0,0,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,87.10032,-2.510639,-2.907704,2181.817919,214.589438,1:15,6.25044,1.43222,5.47688,-21.18411,16.35028,10.43363,Fastball,2.13118,-0.42158,79.68763,-6.461271,-1.051838,0.440947,92.66877,42.798158,15.08749,3881.515471,105.72067,95.78512,30.3825,283.41091,281.58987,17.223116,5.914964,-6.10244,9.31934,-1.18409,50,6.01537,5.96507,-126.20778,-6.23553,-9.84088,25.72958,-17.14556,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,981782c0-6434-11f0-b8c1-3d0ab3898546,85.4807,123.22311,,7.41269,,,,2.13337,2.24682,0.42226,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:09:09.15,2025-07-18T19:09:09.1549184-05:00,2025-07-19T00:09:09.1549184Z,FlyBall,v3,,,,"Kuchinski, Sam",808452,Right,SCH_BOO,8aa6b773-fe9f-4895-9775-0f6c6976b464,55.02462,-127.22801,12.86479,6.24915,-5.55567,-8.57278,-1.42836,6.35528,-4.92044,185.329986,2.14162,96.14059,-22.49262,5.02404,-0.76185,0.06207,-0.00062,-0.00021,1e-05,2.24331,92.39878,-21.30926,2.13919,-0.40299,0.04058,0.00255,-0.00096,6e-05,0.42379,25.93397,-4.54047,0.86148,-0.11431,0.00863,-0.0006,0.0001,-1e-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
67,2025-07-18,19:11:35.81,1,1,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Craig, Alec",691468,Left,SCH_BOO,Undefined,3,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.83976,-1.767587,-2.634883,2165.657749,240.078545,2:00,5.74938,1.8001,5.31658,-25.00238,9.32138,14.47072,Sinker,2.00457,0.53124,83.92058,-6.350605,-0.066185,0.421666,,,,,,,,,,,,-7.95209,5.41618,-1.57217,50,5.57087,5.4154,-131.85411,-5.01531,-14.14353,25.33281,-22.54082,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,ef7b5640-6434-11f0-b8c1-3d0ab3898546,89.38927,,,6.91919,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-19,00:11:35.81,2025-07-18T19:11:35.8155776-05:00,2025-07-19T00:11:35.8155776Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,de9b8764-1f74-41ee-8053-b956d276375b,55.18674,-132.84688,12.6664,5.75011,-4.13194,-11.27041,-1.79526,5.96968,-7.07176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
